; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10106,9.285517565,168.7336343,129.3495372,9.276237053,168.7336343,129.3495372,9.287112645,168.7336343,129.3495372,9.274250631,168.7336343,129.3495372,9.266634438,168.7336343,129.3495372,21.63027103,170.2777062,129.3495372,16.62014525,170.5637928,129.3495372,14.64665209,170.2777062,129.3495372,14.70557469,170.2777062,129.3495372,20.50630699,170.2777062,129.3495372,9.256158453,168.7336343,129.3495372,9.254269747,168.7336343,129.3495372,9.25270728,168.7336343,129.3495372,14.75790951,170.2777062,129.3495372,20.62395023,170.2777062,129.3495372,9.333727342,170.2777062,129.3495372
10107,9.288403541,168.7336343,129.3495372,9.279121121,168.7336343,129.3495372,9.289998949,168.7336343,129.3495372,9.27713429,168.7336343,129.3495372,9.269516532,168.7336343,129.3495372,23.02047139,170.2777062,129.3495372,17.49055193,170.5637928,129.3495372,20.34052771,170.2777062,129.3495372,20.64964369,170.2777062,129.3495372,21.82986958,170.2777062,129.3495372,9.259038392,168.7336343,129.3495372,9.257149298,168.7336343,129.3495372,9.25558651,168.7336343,129.3495372,20.59727303,170.2777062,129.3495372,21.66061442,170.2777062,129.3495372,9.200664913,170.2777062,129.3495372
10108,12.28239944,168.7336343,129.3495372,12.23262672,168.7336343,129.3495372,12.31962279,168.7336343,129.3495372,12.32800008,168.7336343,129.3495372,12.2547537,168.7336343,129.3495372,23.58052603,170.2777062,129.3495372,17.86732127,170.5637928,129.3495372,20.91803395,170.2777062,129.3495372,20.96120385,170.2777062,129.3495372,22.44239226,170.2777062,129.3495372,9.225610793,168.7336343,129.3495372,9.223726207,168.7336343,129.3495372,9.222167148,168.7336343,129.3495372,20.70221096,170.2777062,129.3495372,20.8967018,170.2777062,129.3495372,15.0715633,170.2777062,129.3495372
10109,11.78824207,168.7336343,129.3495372,12.15989759,168.7336343,129.3495372,11.93970059,168.7336343,129.3495372,12.21900003,168.7336343,129.3495372,11.92024563,168.7336343,129.3495372,20.62020552,170.2777062,129.3495372,12.8184041,170.5637928,129.3495372,13.73863666,170.2777062,129.3495372,14.19180325,170.2777062,129.3495372,14.6550767,170.2777062,129.3495372,11.40713999,168.7336343,129.3495372,8.661933289,168.7336343,129.3495372,8.66043691,168.7336343,129.3495372,14.02911956,170.2777062,129.3495372,14.08426678,170.2777062,129.3495372,13.81496809,170.2777062,129.3495372
10110,6.741952535,168.7336343,129.3495372,12.6288873,168.7336343,129.3495372,12.5862941,168.7336343,129.3495372,10.16734616,168.7336343,129.3495372,9.869410246,168.7336343,129.3495372,11.64334277,170.2777062,129.3495372,9.43978746,170.5637928,129.3495372,5.980286226,170.2777062,129.3495372,5.968757121,170.2777062,129.3495372,5.996644356,170.2777062,129.3495372,6.717914026,168.7336343,129.3495372,6.716367601,168.7336343,129.3495372,6.715088292,168.7336343,129.3495372,5.987184175,170.2777062,129.3495372,6.019097564,170.2777062,129.3495372,5.958928366,170.2777062,129.3495372
10111,15.54637878,168.7336343,129.3495372,10.3594224,168.7336343,129.3495372,10.14671496,168.7336343,129.3495372,9.933271499,168.7336343,129.3495372,9.581321746,168.7336343,129.3495372,6.05820981,170.2777062,129.3495372,6.181294029,170.5637928,129.3495372,5.980286226,170.2777062,129.3495372,5.968757121,170.2777062,129.3495372,5.996644356,170.2777062,129.3495372,9.56605312,168.7336343,129.3495372,6.705282619,168.7336343,129.3495372,6.704004547,168.7336343,129.3495372,5.987184175,170.2777062,129.3495372,6.019097564,170.2777062,129.3495372,5.958928366,170.2777062,129.3495372
10112,5.763180873,168.7336343,129.3495372,9.315673253,168.7336343,129.3495372,9.280584941,168.7336343,129.3495372,5.754741498,168.7336343,129.3495372,8.808115576,168.7336343,129.3495372,5.570789865,170.2777062,129.3495372,5.676907353,170.5637928,129.3495372,5.496285567,170.2777062,129.3495372,5.485262359,170.2777062,129.3495372,5.511925903,170.2777062,129.3495372,8.631004659,168.7336343,129.3495372,5.739775033,168.7336343,129.3495372,5.738604684,168.7336343,129.3495372,5.502880835,170.2777062,129.3495372,5.533393864,170.2777062,129.3495372,5.475864891,170.2777062,129.3495372
10113,8.832480261,168.7336343,129.3495372,12.41643871,168.7336343,129.3495372,9.131802913,168.7336343,129.3495372,8.879409354,168.7336343,129.3495372,5.945277186,168.7336343,129.3495372,5.570789865,170.2777062,129.3495372,5.676907353,170.5637928,129.3495372,5.496285567,170.2777062,129.3495372,5.485262359,170.2777062,129.3495372,5.511925903,170.2777062,129.3495372,8.658801405,168.7336343,129.3495372,5.935842434,168.7336343,129.3495372,5.93465021,168.7336343,129.3495372,5.502880835,170.2777062,129.3495372,5.533393864,170.2777062,129.3495372,5.475864891,170.2777062,129.3495372
10114,5.959685764,168.7336343,129.3495372,9.053909301,168.7336343,129.3495372,9.055016566,168.7336343,129.3495372,5.951088644,168.7336343,129.3495372,5.945277186,168.7336343,129.3495372,5.570789865,170.2777062,129.3495372,5.676907353,170.5637928,129.3495372,5.496285567,170.2777062,129.3495372,5.485262359,170.2777062,129.3495372,5.511925903,170.2777062,129.3495372,5.937283592,168.7336343,129.3495372,5.935842434,168.7336343,129.3495372,5.93465021,168.7336343,129.3495372,5.502880835,170.2777062,129.3495372,5.533393864,170.2777062,129.3495372,5.475864891,170.2777062,129.3495372
10115,6.392866852,168.7336343,129.3495372,9.429409527,168.7336343,129.3495372,9.384232389,168.7336343,129.3495372,6.383921996,168.7336343,129.3495372,6.377875476,168.7336343,129.3495372,6.05820981,170.2777062,129.3495372,6.181294029,170.5637928,129.3495372,5.980286226,170.2777062,129.3495372,5.968757121,170.2777062,129.3495372,5.996644356,170.2777062,129.3495372,6.369558557,168.7336343,129.3495372,6.368059107,168.7336343,129.3495372,6.36681866,168.7336343,129.3495372,5.987184175,170.2777062,129.3495372,6.019097564,170.2777062,129.3495372,5.958928366,170.2777062,129.3495372
