; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10106,13.25898284,184.3827652,129.3495372,13.2521867,184.3827652,129.3495372,13.26106418,184.3827652,129.3495372,13.24283599,184.3827652,129.3495372,13.2313572,184.3827652,129.3495372,24.11373152,185.836193,129.3495372,13.46922527,186.1020788,129.3495372,12.94665964,185.836193,129.3495372,12.91419268,185.836193,129.3495372,12.94097404,185.836193,129.3495372,13.23785339,184.3827652,129.3495372,13.22695701,184.3827652,129.3495372,13.23464013,184.3827652,129.3495372,12.98872972,185.836193,129.3495372,18.28752691,185.836193,129.3495372,12.93371322,185.836193,129.3495372
10107,19.47205132,184.3827652,129.3495372,16.11088944,184.3827652,129.3495372,16.32831789,184.3827652,129.3495372,16.10154279,184.3827652,129.3495372,16.09989096,184.3827652,129.3495372,25.36923359,185.836193,129.3495372,16.97514908,186.1020788,129.3495372,13.03708533,185.836193,129.3495372,18.39247406,185.836193,129.3495372,23.95334962,185.836193,129.3495372,13.33199957,184.3827652,129.3495372,13.32104637,184.3827652,129.3495372,13.32876955,184.3827652,129.3495372,18.45507072,185.836193,129.3495372,24.19849023,185.836193,129.3495372,13.02407411,185.836193,129.3495372
10108,21.8424403,184.3827652,129.3495372,19.07758811,184.3827652,129.3495372,19.41637058,184.3827652,129.3495372,16.06860482,184.3827652,129.3495372,18.94942233,184.3827652,129.3495372,24.76096379,185.836193,129.3495372,16.82453812,186.1020788,129.3495372,18.01511805,185.836193,129.3495372,18.27569361,185.836193,129.3495372,24.18378526,185.836193,129.3495372,15.61794668,184.3827652,129.3495372,15.48842681,184.3827652,129.3495372,12.93477153,184.3827652,129.3495372,18.19928934,185.836193,129.3495372,18.75738026,185.836193,129.3495372,18.17089192,185.836193,129.3495372
10109,21.91399799,184.3827652,129.3495372,15.28669081,184.3827652,129.3495372,15.62300121,184.3827652,129.3495372,15.52835598,184.3827652,129.3495372,15.3074316,184.3827652,129.3495372,17.86664605,185.836193,129.3495372,15.95052619,186.1020788,129.3495372,11.75302975,185.836193,129.3495372,17.13898188,185.836193,129.3495372,17.41272919,185.836193,129.3495372,14.86052046,184.3827652,129.3495372,14.76322708,184.3827652,129.3495372,12.20466223,184.3827652,129.3495372,11.79232054,185.836193,129.3495372,17.34364928,185.836193,129.3495372,16.87187829,185.836193,129.3495372
10110,12.3866776,184.3827652,129.3495372,8.924418714,184.3827652,129.3495372,11.9998723,184.3827652,129.3495372,11.95923892,184.3827652,129.3495372,11.71384054,184.3827652,129.3495372,8.692582928,185.836193,129.3495372,8.960039595,186.1020788,129.3495372,8.623302284,185.836193,129.3495372,8.598604096,185.836193,129.3495372,8.618977146,185.836193,129.3495372,8.913518279,184.3827652,129.3495372,8.905231616,184.3827652,129.3495372,8.911074599,184.3827652,129.3495372,8.65530573,185.836193,129.3495372,8.658096406,185.836193,129.3495372,8.613453709,185.836193,129.3495372
10111,11.82148506,184.3827652,129.3495372,8.305292759,184.3827652,129.3495372,8.311739882,184.3827652,129.3495372,8.29850196,184.3827652,129.3495372,8.290165671,184.3827652,129.3495372,8.083900854,185.836193,129.3495372,8.328378817,186.1020788,129.3495372,8.017672916,185.836193,129.3495372,7.994063002,185.836193,129.3495372,8.013538356,185.836193,129.3495372,8.294883429,184.3827652,129.3495372,8.286970109,184.3827652,129.3495372,8.292549845,184.3827652,129.3495372,8.048266197,185.836193,129.3495372,8.050933908,185.836193,129.3495372,8.008258298,185.836193,129.3495372
10112,8.310228338,184.3827652,129.3495372,8.305292759,184.3827652,129.3495372,8.311739882,184.3827652,129.3495372,8.29850196,184.3827652,129.3495372,8.290165671,184.3827652,129.3495372,8.083900854,185.836193,129.3495372,8.328378817,186.1020788,129.3495372,8.017672916,185.836193,129.3495372,7.994063002,185.836193,129.3495372,8.013538356,185.836193,129.3495372,8.294883429,184.3827652,129.3495372,8.286970109,184.3827652,129.3495372,8.292549845,184.3827652,129.3495372,8.048266197,185.836193,129.3495372,8.050933908,185.836193,129.3495372,8.008258298,185.836193,129.3495372
10113,8.310209187,184.3827652,129.3495372,8.305273616,184.3827652,129.3495372,8.311720729,184.3827652,129.3495372,8.298482826,184.3827652,129.3495372,8.29014655,184.3827652,129.3495372,8.083881667,185.836193,129.3495372,8.328358906,186.1020788,129.3495372,8.017653825,185.836193,129.3495372,7.994043945,185.836193,129.3495372,8.013519271,185.836193,129.3495372,8.2948643,184.3827652,129.3495372,8.286950992,184.3827652,129.3495372,8.29253072,184.3827652,129.3495372,8.048247062,185.836193,129.3495372,8.050914769,185.836193,129.3495372,8.008239221,185.836193,129.3495372
10114,8.310228338,184.3827652,129.3495372,8.305292759,184.3827652,129.3495372,8.311739882,184.3827652,129.3495372,8.29850196,184.3827652,129.3495372,8.290165671,184.3827652,129.3495372,8.083900854,185.836193,129.3495372,8.328378817,186.1020788,129.3495372,8.017672916,185.836193,129.3495372,7.994063002,185.836193,129.3495372,8.013538356,185.836193,129.3495372,8.294883429,184.3827652,129.3495372,8.286970109,184.3827652,129.3495372,8.292549845,184.3827652,129.3495372,8.048266197,185.836193,129.3495372,8.050933908,185.836193,129.3495372,8.008258298,185.836193,129.3495372
10115,8.916607912,184.3827652,129.3495372,8.911444356,184.3827652,129.3495372,8.918189274,184.3827652,129.3495372,8.904339886,184.3827652,129.3495372,8.895618541,184.3827652,129.3495372,8.668568873,185.836193,129.3495372,8.935118971,186.1020788,129.3495372,8.599408666,185.836193,129.3495372,8.574753413,185.836193,129.3495372,8.595091047,185.836193,129.3495372,8.900554214,184.3827652,129.3495372,8.892275374,184.3827652,129.3495372,8.89811284,184.3827652,129.3495372,8.631356477,185.836193,129.3495372,8.634142303,185.836193,129.3495372,8.589577212,185.836193,129.3495372
