; MoDaHr,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC,LSC
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10107,9.553858768,148.0324497,114.1900973,9.544365441,148.0324497,114.1900973,9.555490426,148.0324497,114.1900973,9.542333467,148.0324497,114.1900973,9.534542625,148.0324497,114.1900973,21.12717392,150.1505469,114.1900973,16.35565171,150.564282,114.1900973,18.83283809,150.1505469,114.1900973,19.09351086,150.1505469,114.1900973,20.10275026,150.1505469,114.1900973,9.52382641,148.0324497,114.1900973,9.521894394,148.0324497,114.1900973,9.520296097,148.0324497,114.1900973,19.05255603,150.1505469,114.1900973,19.96313787,150.1505469,114.1900973,9.353336119,150.1505469,114.1900973
10108,12.11394168,148.0324497,114.1900973,12.07021878,148.0324497,114.1900973,12.14569898,148.0324497,114.1900973,12.15051884,148.0324497,114.1900973,12.08723901,148.0324497,114.1900973,21.54658921,150.1505469,114.1900973,16.61471831,150.564282,114.1900973,19.26755362,150.1505469,114.1900973,19.30209016,150.1505469,114.1900973,20.56715162,150.1505469,114.1900973,9.52382641,148.0324497,114.1900973,9.521894394,148.0324497,114.1900973,9.520296097,148.0324497,114.1900973,19.08529444,150.1505469,114.1900973,19.25676402,150.1505469,114.1900973,14.29062618,150.1505469,114.1900973
10109,11.2558754,148.0324497,114.1900973,11.56880247,148.0324497,114.1900973,11.38418269,148.0324497,114.1900973,11.61849212,148.0324497,114.1900973,11.36474979,148.0324497,114.1900973,18.73825551,150.1505469,114.1900973,12.06393546,150.564282,114.1900973,12.87235133,150.1505469,114.1900973,13.25578672,150.1505469,114.1900973,13.65465934,150.1505469,114.1900973,10.9293216,148.0324497,114.1900973,8.607580324,148.0324497,114.1900973,8.606082312,148.0324497,114.1900973,13.12062158,150.1505469,114.1900973,13.17308328,150.1505469,114.1900973,12.9335508,150.1505469,114.1900973
10110,6.564590731,148.0324497,114.1900973,11.54158062,148.0324497,114.1900973,11.50681608,148.0324497,114.1900973,9.459816501,148.0324497,114.1900973,9.206976624,148.0324497,114.1900973,10.39938385,150.1505469,114.1900973,8.495849615,150.564282,114.1900973,5.573675676,150.1505469,114.1900973,5.562439031,150.1505469,114.1900973,5.589618848,150.1505469,114.1900973,6.540705714,148.0324497,114.1900973,6.539169163,148.0324497,114.1900973,6.537898023,148.0324497,114.1900973,5.580398645,150.1505469,114.1900973,5.611502483,150.1505469,114.1900973,5.552859603,150.1505469,114.1900973
10111,13.94451467,148.0324497,114.1900973,9.557317507,148.0324497,114.1900973,9.378678168,148.0324497,114.1900973,9.196730292,148.0324497,114.1900973,8.898247629,148.0324497,114.1900973,5.576991534,150.1505469,114.1900973,5.676752476,150.564282,114.1900973,5.501544213,150.1505469,114.1900973,5.490381481,150.1505469,114.1900973,5.517382513,150.1505469,114.1900973,8.884144981,148.0324497,114.1900973,6.464739142,148.0324497,114.1900973,6.463476165,148.0324497,114.1900973,5.508222959,150.1505469,114.1900973,5.5391222,150.1505469,114.1900973,5.480865066,150.1505469,114.1900973
10112,6.496044813,148.0324497,114.1900973,9.498478968,148.0324497,114.1900973,9.470675593,148.0324497,114.1900973,6.486932729,148.0324497,114.1900973,9.067623838,148.0324497,114.1900973,5.582879822,150.1505469,114.1900973,5.682787543,150.564282,114.1900973,5.507392001,150.1505469,114.1900973,5.496223277,150.1505469,114.1900973,5.523238803,150.1505469,114.1900973,8.916047525,148.0324497,114.1900973,6.470773277,148.0324497,114.1900973,6.469509638,148.0324497,114.1900973,5.514074332,150.1505469,114.1900973,5.54499016,150.1505469,114.1900973,5.486701753,150.1505469,114.1900973
10113,8.92732806,148.0324497,114.1900973,11.95650628,148.0324497,114.1900973,9.180694583,148.0324497,114.1900973,8.96520157,148.0324497,114.1900973,6.482786126,148.0324497,114.1900973,5.584842424,150.1505469,114.1900973,5.684799067,150.564282,114.1900973,5.509341103,150.1505469,114.1900973,5.498170382,150.1505469,114.1900973,5.525190739,150.1505469,114.1900973,8.775740031,148.0324497,114.1900973,6.47278449,148.0324497,114.1900973,6.471520631,148.0324497,114.1900973,5.516024629,150.1505469,114.1900973,5.546945986,150.1505469,114.1900973,5.488647156,150.1505469,114.1900973
10114,6.787795133,148.0324497,114.1900973,9.402627845,148.0324497,114.1900973,9.405530367,148.0324497,114.1900973,6.7784528,148.0324497,114.1900973,6.772137595,148.0324497,114.1900973,5.866955335,150.1505469,114.1900973,5.973944285,150.564282,114.1900973,5.789513592,150.1505469,114.1900973,5.778055778,150.1505469,114.1900973,5.805770572,150.1505469,114.1900973,6.763451103,148.0324497,114.1900973,6.761885023,148.0324497,114.1900973,6.760589454,148.0324497,114.1900973,5.796368889,150.1505469,114.1900973,5.82808494,150.1505469,114.1900973,5.7682878,150.1505469,114.1900973
10115,6.499635993,148.0324497,114.1900973,9.066122099,148.0324497,114.1900973,9.029383363,148.0324497,114.1900973,6.490521075,148.0324497,114.1900973,6.484359596,148.0324497,114.1900973,5.586376532,150.1505469,114.1900973,5.686371416,150.564282,114.1900973,5.510864659,150.1505469,114.1900973,5.499692377,150.1505469,114.1900973,5.52671651,150.1505469,114.1900973,6.475884553,148.0324497,114.1900973,6.474356596,148.0324497,114.1900973,6.473092564,148.0324497,114.1900973,5.517549119,150.1505469,114.1900973,5.548474798,150.1505469,114.1900973,5.490167819,150.1505469,114.1900973
10116,6.630760612,148.0324497,114.1900973,9.120359566,148.0324497,114.1900973,9.094463237,148.0324497,114.1900973,6.621542211,148.0324497,114.1900973,6.61531078,148.0324497,114.1900973,5.606741106,150.1505469,114.1900973,5.707243624,150.564282,114.1900973,5.531089162,150.1505469,114.1900973,5.519896156,150.1505469,114.1900973,5.546970418,150.1505469,114.1900973,6.606739519,148.0324497,114.1900973,6.605194214,148.0324497,114.1900973,6.603915832,148.0324497,114.1900973,5.537786022,150.1505469,114.1900973,5.568769066,150.1505469,114.1900973,5.510353931,150.1505469,114.1900973
