;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10108,28.18697905,352.2185086,686.8525987,27.93001668,352.2185086,686.8525987,28.11310882,352.2185086,686.8525987,27.97112328,352.2185086,686.8525987,28.21050865,352.2185086,686.8525987,27.92851256,353.3487149,686.8525987,27.98808991,355.1945834,686.8525987,27.58141727,353.3487149,686.8525987,27.55151069,353.3487149,686.8525987,27.54403766,353.3487149,686.8525987,27.97787303,352.2185086,686.8525987,27.97562139,352.2185086,686.8525987,27.90149089,352.2185086,686.8525987,27.38808939,353.3487149,686.8525987,27.44698429,353.3487149,686.8525987,28.50387324,353.3487149,686.8525987
10109,28.17178674,352.2185086,686.8525987,27.91482436,352.2185086,686.8525987,28.0979165,352.2185086,686.8525987,27.95593096,352.2185086,686.8525987,28.19531634,352.2185086,686.8525987,27.73030451,353.3487149,686.8525987,27.7901278,355.1945834,686.8525987,27.38320921,353.3487149,686.8525987,27.35330264,353.3487149,686.8525987,27.3458296,353.3487149,686.8525987,27.96268071,352.2185086,686.8525987,27.96042908,352.2185086,686.8525987,27.88629857,352.2185086,686.8525987,27.18988134,353.3487149,686.8525987,27.24877623,353.3487149,686.8525987,28.30566518,353.3487149,686.8525987
10110,27.68320688,352.2185086,686.8525987,27.4262445,352.2185086,686.8525987,27.60933665,352.2185086,686.8525987,27.46735111,352.2185086,686.8525987,27.70673648,352.2185086,686.8525987,26.07076294,353.3487149,686.8525987,26.13249988,355.1945834,686.8525987,25.72366764,353.3487149,686.8525987,25.69376107,353.3487149,686.8525987,25.68628803,353.3487149,686.8525987,27.47410086,352.2185086,686.8525987,27.47184922,352.2185086,686.8525987,27.39771872,352.2185086,686.8525987,25.53033977,353.3487149,686.8525987,25.58923466,353.3487149,686.8525987,26.64612361,353.3487149,686.8525987
10111,27.43138101,352.2185086,686.8525987,27.17441863,352.2185086,686.8525987,27.35751077,352.2185086,686.8525987,27.21552523,352.2185086,686.8525987,27.45491061,352.2185086,686.8525987,25.4741016,353.3487149,686.8525987,25.53653796,355.1945834,686.8525987,25.1270063,353.3487149,686.8525987,25.09709973,353.3487149,686.8525987,25.0896267,353.3487149,686.8525987,27.22227498,352.2185086,686.8525987,27.22002335,352.2185086,686.8525987,27.14589284,352.2185086,686.8525987,24.93367843,353.3487149,686.8525987,24.99257332,353.3487149,686.8525987,26.04946228,353.3487149,686.8525987
10112,27.0239949,352.2185086,686.8525987,26.76703252,352.2185086,686.8525987,26.95012466,352.2185086,686.8525987,26.80813912,352.2185086,686.8525987,27.0475245,352.2185086,686.8525987,25.06418443,353.3487149,686.8525987,25.12704601,355.1945834,686.8525987,24.71708913,353.3487149,686.8525987,24.68718256,353.3487149,686.8525987,24.67970953,353.3487149,686.8525987,26.81488887,352.2185086,686.8525987,26.81263724,352.2185086,686.8525987,26.73850673,352.2185086,686.8525987,24.52376126,353.3487149,686.8525987,24.58265615,353.3487149,686.8525987,25.63954511,353.3487149,686.8525987
10113,26.46806626,352.2185086,686.8525987,26.21110388,352.2185086,686.8525987,26.39419603,352.2185086,686.8525987,26.25221049,352.2185086,686.8525987,26.49159586,352.2185086,686.8525987,25.07258496,353.3487149,686.8525987,25.13543732,355.1945834,686.8525987,24.72548966,353.3487149,686.8525987,24.69558309,353.3487149,686.8525987,24.68811006,353.3487149,686.8525987,26.25896023,352.2185086,686.8525987,26.2567086,352.2185086,686.8525987,26.18257809,352.2185086,686.8525987,24.53216179,353.3487149,686.8525987,24.59105668,353.3487149,686.8525987,25.64794564,353.3487149,686.8525987
10114,26.91199506,352.2185086,686.8525987,26.65503268,352.2185086,686.8525987,26.83812482,352.2185086,686.8525987,26.69613928,352.2185086,686.8525987,26.93552466,352.2185086,686.8525987,25.06399823,353.3487149,686.8525987,25.12685979,355.1945834,686.8525987,24.71690293,353.3487149,686.8525987,24.68699636,353.3487149,686.8525987,24.67952332,353.3487149,686.8525987,26.70288903,352.2185086,686.8525987,26.7006374,352.2185086,686.8525987,26.62650689,352.2185086,686.8525987,24.52357506,353.3487149,686.8525987,24.58246995,353.3487149,686.8525987,25.6393589,353.3487149,686.8525987
10115,26.69776939,352.2185086,686.8525987,26.44080701,352.2185086,686.8525987,26.62389916,352.2185086,686.8525987,26.48191361,352.2185086,686.8525987,26.72129899,352.2185086,686.8525987,25.20306723,353.3487149,686.8525987,25.26577757,355.1945834,686.8525987,24.85597193,353.3487149,686.8525987,24.82606536,353.3487149,686.8525987,24.81859233,353.3487149,686.8525987,26.48866336,352.2185086,686.8525987,26.48641173,352.2185086,686.8525987,26.41228122,352.2185086,686.8525987,24.66264406,353.3487149,686.8525987,24.72153896,353.3487149,686.8525987,25.77842791,353.3487149,686.8525987
10116,27.56017042,352.2185086,686.8525987,27.30320804,352.2185086,686.8525987,27.48630019,352.2185086,686.8525987,27.34431465,352.2185086,686.8525987,27.58370002,352.2185086,686.8525987,25.92497551,353.3487149,686.8525987,25.98690383,355.1945834,686.8525987,25.57788021,353.3487149,686.8525987,25.54797364,353.3487149,686.8525987,25.5405006,353.3487149,686.8525987,27.35106439,352.2185086,686.8525987,27.34881276,352.2185086,686.8525987,27.27468225,352.2185086,686.8525987,25.38455234,353.3487149,686.8525987,25.44344723,353.3487149,686.8525987,26.50033618,353.3487149,686.8525987
10117,28.2196166,352.2185086,686.8525987,27.96265423,352.2185086,686.8525987,28.14574637,352.2185086,686.8525987,28.00376083,352.2185086,686.8525987,28.2431462,352.2185086,686.8525987,28.02177161,353.3487149,686.8525987,28.0812479,355.1945834,686.8525987,27.67467631,353.3487149,686.8525987,27.64476973,353.3487149,686.8525987,27.6372967,353.3487149,686.8525987,28.01051058,352.2185086,686.8525987,28.00825894,352.2185086,686.8525987,27.93412844,352.2185086,686.8525987,27.48134843,353.3487149,686.8525987,27.54024333,353.3487149,686.8525987,28.59713228,353.3487149,686.8525987
10118,28.22567359,352.2185086,686.8525987,27.96871121,352.2185086,686.8525987,28.15180336,352.2185086,686.8525987,28.00981782,352.2185086,686.8525987,28.24920319,352.2185086,686.8525987,28.03771413,353.3487149,686.8525987,28.09717098,355.1945834,686.8525987,27.69061883,353.3487149,686.8525987,27.66071226,353.3487149,686.8525987,27.65323923,353.3487149,686.8525987,28.01656756,352.2185086,686.8525987,28.01431593,352.2185086,686.8525987,27.94018542,352.2185086,686.8525987,27.49729096,353.3487149,686.8525987,27.55618585,353.3487149,686.8525987,28.61307481,353.3487149,686.8525987
10119,28.22486819,352.2185086,686.8525987,27.96790582,352.2185086,686.8525987,28.15099796,352.2185086,686.8525987,28.00901242,352.2185086,686.8525987,28.24839779,352.2185086,686.8525987,28.03775951,353.3487149,686.8525987,28.09721628,355.1945834,686.8525987,27.69066421,353.3487149,686.8525987,27.66075764,353.3487149,686.8525987,27.65328461,353.3487149,686.8525987,28.01576217,352.2185086,686.8525987,28.01351053,352.2185086,686.8525987,27.93938003,352.2185086,686.8525987,27.49733634,353.3487149,686.8525987,27.55623123,353.3487149,686.8525987,28.61312019,353.3487149,686.8525987
