;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
10108,28.46327561,352.2185086,686.8525987,28.20200325,352.2185086,686.8525987,28.38816637,352.2185086,686.8525987,28.24379933,352.2185086,686.8525987,28.48719987,352.2185086,686.8525987,28.20317837,353.3487149,686.8525987,28.25470738,355.1945834,686.8525987,27.85021492,353.3487149,686.8525987,27.81980274,353.3487149,686.8525987,27.81220336,353.3487149,686.8525987,28.25066229,352.2185086,686.8525987,28.24837289,352.2185086,686.8525987,28.17299901,352.2185086,686.8525987,27.65361856,353.3487149,686.8525987,27.71350916,353.3487149,686.8525987,28.78826636,353.3487149,686.8525987
10109,28.44452034,352.2185086,686.8525987,28.18330356,352.2185086,686.8525987,28.36942708,352.2185086,686.8525987,28.22509075,352.2185086,686.8525987,28.46843951,352.2185086,686.8525987,27.95896392,353.3487149,686.8525987,28.01069722,355.1945834,686.8525987,27.60698339,353.3487149,686.8525987,27.57665589,353.3487149,686.8525987,27.56907768,353.3487149,686.8525987,28.23195225,352.2185086,686.8525987,28.22966334,352.2185086,686.8525987,28.15430549,352.2185086,686.8525987,27.4109345,353.3487149,686.8525987,27.47065831,353.3487149,686.8525987,28.54242259,353.3487149,686.8525987
10110,27.84135717,352.2185086,686.8525987,27.58192778,352.2185086,686.8525987,27.76677773,352.2185086,686.8525987,27.62342904,352.2185086,686.8525987,27.86511267,352.2185086,686.8525987,25.91422351,353.3487149,686.8525987,25.96748778,355.1945834,686.8525987,25.57047262,353.3487149,686.8525987,25.54085422,353.3487149,686.8525987,25.53345319,353.3487149,686.8525987,27.63024359,352.2185086,686.8525987,27.62797034,352.2185086,686.8525987,27.55312813,352.2185086,686.8525987,25.37900755,353.3487149,686.8525987,25.43733497,353.3487149,686.8525987,26.48404033,353.3487149,686.8525987
10111,27.53047227,352.2185086,686.8525987,27.27196416,352.2185086,686.8525987,27.45615768,352.2185086,686.8525987,27.31331804,352.2185086,686.8525987,27.55414341,352.2185086,686.8525987,25.17907016,353.3487149,686.8525987,25.23289891,355.1945834,686.8525987,24.83827811,353.3487149,686.8525987,24.80891465,353.3487149,686.8525987,24.80157732,353.3487149,686.8525987,27.32010839,352.2185086,686.8525987,27.31784321,352.2185086,686.8525987,27.24326678,352.2185086,686.8525987,24.64846108,353.3487149,686.8525987,24.70628644,353.3487149,686.8525987,25.74398228,353.3487149,686.8525987
10112,27.02754466,352.2185086,686.8525987,26.77052691,352.2185086,686.8525987,26.95365851,352.2185086,686.8525987,26.81164237,352.2185086,686.8525987,27.05107933,352.2185086,686.8525987,24.67400646,353.3487149,686.8525987,24.72815486,355.1945834,686.8525987,24.33524719,353.3487149,686.8525987,24.30605887,353.3487149,686.8525987,24.29876531,353.3487149,686.8525987,26.81839358,352.2185086,686.8525987,26.81614146,352.2185086,686.8525987,26.74199498,352.2185086,686.8525987,24.14656239,353.3487149,686.8525987,24.20404283,353.3487149,686.8525987,25.23554895,353.3487149,686.8525987
10113,26.34123785,352.2185086,686.8525987,26.08625388,352.2185086,686.8525987,26.26793636,352.2185086,686.8525987,26.127044,352.2185086,686.8525987,26.36458629,352.2185086,686.8525987,24.68435685,353.3487149,686.8525987,24.73849808,355.1945834,686.8525987,24.34555592,353.3487149,686.8525987,24.31636402,353.3487149,686.8525987,24.30906956,353.3487149,686.8525987,26.13374178,352.2185086,686.8525987,26.13150748,352.2185086,686.8525987,26.05794772,352.2185086,686.8525987,24.15684792,353.3487149,686.8525987,24.21433543,353.3487149,686.8525987,25.2459684,353.3487149,686.8525987
10114,26.88927826,352.2185086,686.8525987,26.63267024,352.2185086,686.8525987,26.8155099,352.2185086,686.8525987,26.67372016,352.2185086,686.8525987,26.91277541,352.2185086,686.8525987,24.67377703,353.3487149,686.8525987,24.72792533,355.1945834,686.8525987,24.33501869,353.3487149,686.8525987,24.30583045,353.3487149,686.8525987,24.29853691,353.3487149,686.8525987,26.6804606,352.2185086,686.8525987,26.67821207,352.2185086,686.8525987,26.60418379,352.2185086,686.8525987,24.1463344,353.3487149,686.8525987,24.20381468,353.3487149,686.8525987,25.235318,353.3487149,686.8525987
10115,26.6248117,352.2185086,686.8525987,26.36898739,352.2185086,686.8525987,26.55126863,352.2185086,686.8525987,26.40991194,352.2185086,686.8525987,26.64823708,352.2185086,686.8525987,24.84512557,353.3487149,686.8525987,24.89915683,355.1945834,686.8525987,24.50567758,353.3487149,686.8525987,24.47642992,353.3487149,686.8525987,24.46912154,353.3487149,686.8525987,26.41663179,352.2185086,686.8525987,26.41439013,352.2185086,686.8525987,26.34058794,352.2185086,686.8525987,24.31660917,353.3487149,686.8525987,24.37420647,353.3487149,686.8525987,25.40780972,353.3487149,686.8525987
10116,27.6894658,352.2185086,686.8525987,27.43048653,352.2185086,686.8525987,27.61501576,352.2185086,686.8525987,27.47191577,352.2185086,686.8525987,27.71318008,352.2185086,686.8525987,25.73459712,353.3487149,686.8525987,25.78802457,355.1945834,686.8525987,25.3915692,353.3487149,686.8525987,25.36201308,353.3487149,686.8525987,25.35462762,353.3487149,686.8525987,27.4787185,352.2185086,686.8525987,27.47644919,352.2185086,686.8525987,27.40173684,352.2185086,686.8525987,25.20050681,353.3487149,686.8525987,25.25871155,353.3487149,686.8525987,26.30321554,353.3487149,686.8525987
10117,28.50356743,352.2185086,686.8525987,28.24217566,352.2185086,686.8525987,28.42842385,352.2185086,686.8525987,28.28399084,352.2185086,686.8525987,28.52750262,352.2185086,686.8525987,28.31808392,353.3487149,686.8525987,28.36953489,355.1945834,686.8525987,27.964658,353.3487149,686.8525987,27.93420596,353.3487149,686.8525987,27.92659663,353.3487149,686.8525987,28.29085694,352.2185086,686.8525987,28.28856649,352.2185086,686.8525987,28.21315816,352.2185086,686.8525987,27.76780405,353.3487149,686.8525987,27.82777311,353.3487149,686.8525987,28.90393851,353.3487149,686.8525987
