; MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
; Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
10109,7.203995513,126.6371237,110.6776243,7.207258387,126.6371237,110.6776243,7.206047841,126.6371237,110.6776243,7.197512134,126.6371237,110.6776243,7.206507164,126.6371237,110.6776243,6.776846744,126.9810847,110.6776243,6.297238225,127.5442138,110.6776243,6.760902942,126.9810847,110.6776243,6.761218032,126.9810847,110.6776243,6.759623512,126.9810847,110.6776243,7.198184927,126.6371237,110.6776243,7.199273456,126.6371237,110.6776243,7.193525042,126.6371237,110.6776243,6.754360605,126.9810847,110.6776243,6.745650942,126.9810847,110.6776243,6.788653572,126.9810847,110.6776243
10110,6.92638156,126.6371237,110.6776243,6.929589331,126.6371237,110.6776243,6.928399229,126.6371237,110.6776243,6.92000767,126.6371237,110.6776243,6.928850795,126.6371237,110.6776243,6.773945977,126.9810847,110.6776243,6.294502502,127.5442138,110.6776243,6.758005183,126.9810847,110.6776243,6.758320214,126.9810847,110.6776243,6.756725995,126.9810847,110.6776243,6.920669102,126.6371237,110.6776243,6.921739248,126.6371237,110.6776243,6.916087911,126.6371237,110.6776243,6.751464081,126.9810847,110.6776243,6.742756061,126.9810847,110.6776243,6.785750578,126.9810847,110.6776243
10111,7.314080576,126.6371237,110.6776243,7.3173653,126.6371237,110.6776243,7.316146647,126.6371237,110.6776243,7.307553779,126.6371237,110.6776243,7.316609046,126.6371237,110.6776243,6.776707655,126.9810847,110.6776243,6.29710705,127.5442138,110.6776243,6.760763998,126.9810847,110.6776243,6.761079085,126.9810847,110.6776243,6.75948458,126.9810847,110.6776243,7.308231078,126.6371237,110.6776243,7.309326896,126.6371237,110.6776243,7.303539986,126.6371237,110.6776243,6.75422172,126.9810847,110.6776243,6.745512135,126.9810847,110.6776243,6.788514377,126.9810847,110.6776243
10112,7.203001733,126.6371237,110.6776243,7.206264409,126.6371237,110.6776243,7.205053937,126.6371237,110.6776243,7.196518745,126.6371237,110.6776243,7.205513232,126.6371237,110.6776243,6.784059554,126.9810847,110.6776243,6.304040651,127.5442138,110.6776243,6.768108273,126.9810847,110.6776243,6.768423511,126.9810847,110.6776243,6.766828243,126.9810847,110.6776243,7.197191498,126.6371237,110.6776243,7.198279961,126.6371237,110.6776243,7.192531894,126.6371237,110.6776243,6.761562867,126.9810847,110.6776243,6.752849118,126.9810847,110.6776243,6.795871922,126.9810847,110.6776243
10113,7.318388813,126.6371237,110.6776243,7.321674392,126.6371237,110.6776243,7.320455423,126.6371237,110.6776243,7.311860317,126.6371237,110.6776243,7.320917942,126.6371237,110.6776243,6.780390428,126.9810847,110.6776243,6.300580286,127.5442138,110.6776243,6.764442952,126.9810847,110.6776243,6.764758115,126.9810847,110.6776243,6.763163227,126.9810847,110.6776243,7.312537793,126.6371237,110.6776243,7.313633896,126.6371237,110.6776243,7.30784548,126.6371237,110.6776243,6.757899107,126.9810847,110.6776243,6.749187436,126.9810847,110.6776243,6.792199978,126.9810847,110.6776243
10114,7.358078065,126.6371237,110.6776243,7.361371521,126.6371237,110.6776243,7.360149629,126.6371237,110.6776243,7.351533915,126.6371237,110.6776243,7.360613257,126.6371237,110.6776243,6.780832851,126.9810847,110.6776243,6.300997536,127.5442138,110.6776243,6.764884916,126.9810847,110.6776243,6.765200087,126.9810847,110.6776243,6.763605154,126.9810847,110.6776243,7.352213015,126.6371237,110.6776243,7.353311747,126.6371237,110.6776243,7.347509452,126.6371237,110.6776243,6.758340883,126.9810847,110.6776243,6.749628961,126.9810847,110.6776243,6.792642741,126.9810847,110.6776243
10115,7.381998582,126.6371237,110.6776243,7.385296787,126.6371237,110.6776243,7.384073133,126.6371237,110.6776243,7.375444999,126.6371237,110.6776243,7.38453743,126.6371237,110.6776243,6.780956543,126.9810847,110.6776243,6.301114191,127.5442138,110.6776243,6.76500848,126.9810847,110.6776243,6.765323654,126.9810847,110.6776243,6.763728708,126.9810847,110.6776243,7.376125077,126.6371237,110.6776243,7.377225393,126.6371237,110.6776243,7.371414733,126.6371237,110.6776243,6.758464394,126.9810847,110.6776243,6.749752402,126.9810847,110.6776243,6.792766528,126.9810847,110.6776243
10116,7.29200803,126.6371237,110.6776243,7.295288373,126.6371237,110.6776243,7.294071346,126.6371237,110.6776243,7.285489938,126.6371237,110.6776243,7.294533128,126.6371237,110.6776243,7.078305638,126.9810847,110.6776243,6.581545118,127.5442138,110.6776243,7.062049226,126.9810847,110.6776243,7.062370494,126.9810847,110.6776243,7.060744711,126.9810847,110.6776243,7.286166334,126.6371237,110.6776243,7.287260691,126.6371237,110.6776243,7.2814815,126.6371237,110.6776243,7.055378614,126.9810847,110.6776243,7.04649818,126.9810847,110.6776243,7.090343963,126.9810847,110.6776243
10117,7.382380018,126.6371237,110.6776243,7.385678298,126.6371237,110.6776243,7.384454616,126.6371237,110.6776243,7.375826284,126.6371237,110.6776243,7.384918924,126.6371237,110.6776243,7.373879158,126.9810847,110.6776243,6.860301495,127.5442138,110.6776243,7.35731624,126.9810847,110.6776243,7.357643565,126.9810847,110.6776243,7.355987128,126.9810847,110.6776243,7.376506378,126.6371237,110.6776243,7.377606719,126.6371237,110.6776243,7.371795926,126.6371237,110.6776243,7.350519856,126.9810847,110.6776243,7.341471986,126.9810847,110.6776243,7.38614446,126.9810847,110.6776243
10118,7.414433277,126.6371237,110.6776243,7.773962146,126.6371237,110.6776243,7.416511877,126.6371237,110.6776243,7.407866901,126.6371237,110.6776243,7.41697708,126.6371237,110.6776243,7.425464017,126.9810847,110.6776243,6.908951348,127.5442138,110.6776243,7.408847605,126.9810847,110.6776243,7.409175988,126.9810847,110.6776243,7.407514201,126.9810847,110.6776243,7.408548307,126.6371237,110.6776243,7.409650771,126.6371237,110.6776243,7.403828769,126.6371237,110.6776243,7.402029272,126.9810847,110.6776243,7.39295218,126.9810847,110.6776243,21.74290889,126.9810847,110.6776243
10119,7.503556346,126.6371237,110.6776243,14.83848223,126.6371237,110.6776243,17.46312523,126.6371237,110.6776243,7.496954821,126.6371237,110.6776243,7.506113766,126.6371237,110.6776243,7.531311579,126.9810847,110.6776243,7.008776539,127.5442138,110.6776243,7.514585405,126.9810847,110.6776243,7.514915957,126.9810847,110.6776243,7.513243193,126.9810847,110.6776243,7.497639874,126.6371237,110.6776243,7.498748239,126.6371237,110.6776243,7.492895073,126.6371237,110.6776243,7.507722032,126.9810847,110.6776243,7.49858498,126.9810847,110.6776243,31.43679351,126.9810847,110.6776243
10120,7.604691962,126.6371237,110.6776243,7.608034368,126.6371237,110.6776243,10.59741784,126.6371237,110.6776243,7.598050549,126.6371237,110.6776243,7.607264834,126.6371237,110.6776243,7.620153572,126.9810847,110.6776243,7.092563719,127.5442138,110.6776243,7.603335269,126.9810847,110.6776243,7.603667642,126.9810847,110.6776243,7.601985664,126.9810847,110.6776243,7.598739742,126.6371237,110.6776243,7.599854804,126.6371237,110.6776243,7.593966271,126.6371237,110.6776243,7.596434092,126.9810847,110.6776243,7.587246713,126.9810847,110.6776243,31.18889824,126.9810847,110.6776243
10121,7.565010957,126.6371237,110.6776243,7.568345488,126.6371237,110.6776243,7.567108357,126.6371237,110.6776243,7.558385194,126.6371237,110.6776243,7.567577767,126.6371237,110.6776243,7.609540914,126.9810847,110.6776243,7.082554886,127.5442138,110.6776243,7.592733616,126.9810847,110.6776243,7.593065771,126.9810847,110.6776243,7.591384895,126.9810847,110.6776243,7.559072763,126.6371237,110.6776243,7.560185198,126.6371237,110.6776243,7.554310541,126.6371237,110.6776243,7.585836955,126.9810847,110.6776243,7.576655588,126.9810847,110.6776243,28.22161124,126.9810847,110.6776243
10122,7.629848753,126.6371237,110.6776243,7.633196153,126.6371237,110.6776243,7.631954247,126.6371237,110.6776243,7.623197418,126.6371237,110.6776243,7.632425469,126.6371237,110.6776243,7.711819339,126.9810847,110.6776243,7.179014012,127.5442138,110.6776243,7.69490598,126.9810847,110.6776243,7.695240231,126.9810847,110.6776243,7.693548747,126.9810847,110.6776243,7.623887641,126.6371237,110.6776243,7.625004368,126.6371237,110.6776243,7.619107039,126.6371237,110.6776243,7.687965798,126.9810847,110.6776243,7.678726492,126.9810847,110.6776243,21.87426101,126.9810847,110.6776243
10123,8.291687381,126.6371237,110.6776243,8.295166147,126.6371237,110.6776243,8.293875504,126.6371237,110.6776243,8.28477502,126.6371237,110.6776243,8.294365218,126.6371237,110.6776243,8.395953982,126.9810847,110.6776243,7.824223684,127.5442138,110.6776243,8.378331182,126.9810847,110.6776243,8.378679453,126.9810847,110.6776243,8.376917019,126.9810847,110.6776243,8.285492329,126.6371237,110.6776243,8.286652882,126.6371237,110.6776243,8.280524116,126.6371237,110.6776243,8.371099889,126.9810847,110.6776243,8.361473035,126.9810847,110.6776243,16.85867668,126.9810847,110.6776243
10124,9.342812202,126.6371237,110.6776243,9.346499602,126.6371237,110.6776243,9.345131554,126.6371237,110.6776243,9.335485281,126.6371237,110.6776243,9.345650639,126.6371237,110.6776243,9.468481548,126.9810847,110.6776243,8.835728025,127.5442138,110.6776243,9.449746548,126.9810847,110.6776243,9.450116799,126.9810847,110.6776243,9.448243135,126.9810847,110.6776243,9.33624561,126.6371237,110.6776243,9.337475766,126.6371237,110.6776243,9.330979435,126.6371237,110.6776243,9.442058878,126.9810847,110.6776243,9.431824458,126.9810847,110.6776243,11.04811468,126.9810847,110.6776243
10201,11.38405412,126.6371237,110.6776243,11.38814668,126.6371237,110.6776243,11.38662832,126.6371237,110.6776243,11.37592214,126.6371237,110.6776243,11.38720444,126.6371237,110.6776243,11.51273158,126.9810847,110.6776243,10.76366707,127.5442138,110.6776243,11.49187671,126.9810847,110.6776243,11.49228885,126.9810847,110.6776243,11.49020319,126.9810847,110.6776243,11.37676601,126.6371237,110.6776243,11.37813134,126.6371237,110.6776243,11.37092121,126.6371237,110.6776243,11.48331918,126.9810847,110.6776243,11.47192673,126.9810847,110.6776243,11.52817519,126.9810847,110.6776243
10202,10.48949376,126.6371237,110.6776243,10.49340876,126.6371237,110.6776243,10.49195627,126.6371237,110.6776243,10.48171459,126.6371237,110.6776243,10.4925074,126.6371237,110.6776243,10.58901969,126.9810847,110.6776243,9.892511303,127.5442138,110.6776243,10.56912271,126.9810847,110.6776243,10.56951592,126.9810847,110.6776243,10.56752605,126.9810847,110.6776243,10.48252185,126.6371237,110.6776243,10.48382794,126.6371237,110.6776243,10.47693063,126.6371237,110.6776243,10.56095823,126.9810847,110.6776243,10.55008905,126.9810847,110.6776243,10.60375397,126.9810847,110.6776243
